Account Name: RAHUL S
Account Number: XXXXX1234
IFSC: NUBI0005678
Branch: Chennai Main
Statement Period: 01-03-2026 to 31-03-2026

Date,Value Date,Narration,Chq/Ref No.,Debit Amount,Credit Amount,Closing Balance
01-03-2026,01-03-2026,OPENING BALANCE,, , ,125000.00
01-03-2026,01-03-2026,NEFT-SALARY-MARCH-TECHSOL PVT LTD-RAHULS-9988776655,NEFT938475, ,95000.00,220000.00
02-03-2026,02-03-2026,UPI/DR/060321/amazon@apl/Shopping Order/AXIS12345,UPI839201,3200.00, ,216800.00
03-03-2026,03-03-2026,UPI/DR/060322/swiggy@icici/Food Order/ID23901,UPI839202,850.00, ,215950.00
04-03-2026,04-03-2026,BILLPAY/ELEC/TNEB/CONSUMERNO9988,TXN77812,2200.00, ,213750.00
05-03-2026,05-03-2026,ATM WDL/AXIS BANK ATM/CHENNAI/5532,ATM55321,10000.00, ,203750.00
06-03-2026,06-03-2026,UPI/DR/060325/netflix@apl/Subscription,UPI839203,499.00, ,203251.00
08-03-2026,08-03-2026,IMPS/P2A/4069384756/9876543210/RAJESH K,IMPS99451,15000.00, ,188251.00
10-03-2026,10-03-2026,UPI/CR/060328/freelance@oksbi/Project Payment,UPI939201, ,18000.00,206251.00
11-03-2026,11-03-2026,POS/AMAZON SELLER SERVICES/BLR/IN,POS66221,4500.00, ,201751.00
12-03-2026,12-03-2026,NACH/SIP/HDFC MUTUAL FUND/987654,MF88321,5000.00, ,196751.00
15-03-2026,15-03-2026,UPI/DR/060331/zomato@upi/Dinner Order,UPI839204,2100.00, ,194651.00
18-03-2026,18-03-2026,UPI/DR/060334/unknownxyz@upi/Payment,UPI839205,18000.00, ,176651.00
20-03-2026,20-03-2026,UPI/CR/060336/unknownxyz@upi/Refund,UPI939202, ,18000.00,194651.00
22-03-2026,22-03-2026,EMI/ICICI CREDIT CARD/CC9988,EMI77221,12000.00, ,182651.00
25-03-2026,25-03-2026,UPI/DR/060340/blinkit@upi/Grocery,UPI839206,1350.00, ,181301.00
28-03-2026,28-03-2026,INT CR SB A/C,INT55661, ,420.00,181721.00
31-03-2026,31-03-2026,MONTHLY AVG BAL CHARGE,MABC9988,295.00, ,181426.00
